night,AsleepUnspecified,Awake,Core,Deep,InBed,REM,TotalSleepHours
2024-11-21,0.408502,0.176002,2.751407,0.804026,5.244209,1.104272,5.068207
2024-11-22,0.737154,0.021124,3.784102,1.271517,7.23408,1.420183,7.212956
2024-11-23,0.788128,0.144166,3.337387,1.165542,6.800399,1.365176,6.656233
2024-11-24,0.792257,0.189458,3.642582,1.066974,7.403999,1.712729,7.214542
2024-11-25,0.549571,0.312004,3.329269,1.32597,7.115818,1.599004,6.803814
2024-11-26,0.207692,0.369242,3.565013,0.660902,6.07865,1.275802,5.709408
2024-11-27,0.944996,0.187923,3.809315,1.156608,7.718718,1.619876,7.530795
2024-11-28,0.253685,0.359725,4.572201,1.150054,8.193706,1.858041,7.833981
2024-11-29,0.954707,0.046863,4.324344,1.244341,8.521963,1.951706,8.475099
2024-11-30,0.571171,0.074515,2.999541,1.077372,6.172201,1.449603,6.097686
2024-12-01,1.429187,0.050569,4.046651,1.367132,8.774684,1.881145,8.724115
2024-12-02,1.211535,0.075684,4.327395,1.481893,9.117045,2.020539,9.041361
2024-12-03,0.605823,0.214293,2.582374,0.819254,5.297087,1.075343,5.082793
2024-12-04,0.83588,0.26953,3.990105,1.287448,8.062854,1.679892,7.793325
2024-12-05,0.591411,0.23593,3.822055,1.365843,7.568322,1.553083,7.332392
2024-12-06,0.820317,0.007703,3.84546,0.978069,7.175142,1.523593,7.167439
2024-12-08,0.477907,0.130888,4.705203,1.40234,8.646182,1.929844,8.515294
2024-12-09,0.987637,0.166062,3.99929,1.11253,8.12139,1.855872,7.955329
2024-12-10,0.77354,0.593842,3.567672,1.13176,7.764029,1.697215,7.170187
2024-12-11,0.722097,0.225246,4.164609,1.199188,7.862969,1.55183,7.637723
2024-12-12,0.552623,0.535504,3.916689,1.229893,8.050267,1.815558,7.514763
2024-12-13,1.153743,0.167157,3.83206,0.843248,7.570125,1.573917,7.402968
2024-12-14,0.458375,0.580776,4.350308,1.40058,8.771665,1.981627,8.19089
2024-12-15,0.656909,0.237909,3.830288,1.201,7.745944,1.819838,7.508035
2024-12-16,0.676853,0.036505,3.736037,0.852678,6.622549,1.320476,6.586044
