night,AsleepUnspecified,Awake,Core,Deep,InBed,REM,TotalSleepHours
2023-11-23,1.466423,0.000189,3.093317,1.04677,7.153573,1.546875,7.153385
2023-11-25,1.280494,0.033245,3.770102,1.256054,8.252682,1.912788,8.219437
2023-11-26,0.882732,0.209089,4.706877,1.166763,9.018718,2.053258,8.809629
2023-11-27,1.186761,0.128276,4.089121,1.111641,8.508004,1.992204,8.379728
2023-11-28,0.822426,0.376181,4.065895,1.26271,8.353421,1.82621,7.977241
2023-11-29,0.513166,0.201749,3.070436,0.975221,6.291821,1.531249,6.090072
2023-11-30,1.394133,0.114326,3.502059,1.260576,8.130149,1.859056,8.015823
2023-12-01,1.109993,0.010855,3.967573,1.00604,7.83324,1.738778,7.822385
2023-12-02,0.606471,0.18355,3.355018,1.318436,7.13293,1.669454,6.94938
2023-12-03,1.41662,0.179159,4.030153,1.351402,8.958025,1.980691,8.778866
2023-12-04,0.342069,0.150434,4.760537,1.267501,8.616246,2.095706,8.465813
2023-12-05,0.758229,0.017759,3.070908,0.860965,6.087706,1.379845,6.069947
2023-12-06,0.303006,0.085236,3.949592,1.055309,6.739709,1.346566,6.654473
2023-12-07,0.672533,0.007481,3.998267,1.244013,7.504601,1.582307,7.49712
2023-12-08,0.871055,0.269926,3.97874,1.217454,8.096862,1.759688,7.826936
2023-12-09,1.198194,0.112126,5.058511,1.473618,9.890766,2.048318,9.778641
2023-12-10,0.89238,0.01279,3.209498,1.175279,6.784937,1.494989,6.772147
2023-12-11,1.362253,0.008148,4.274999,1.249545,8.677545,1.7826,8.669396
2023-12-12,0.831577,0.022549,5.145459,1.254159,9.18458,1.930835,9.16203
2023-12-13,0.750538,0.241373,3.760721,1.185666,7.717417,1.779119,7.476044
2023-12-14,0.016445,0.066234,4.030219,1.1778,6.771348,1.48065,6.705113
2023-12-15,0.771199,0.057468,4.177693,1.348731,8.373629,2.018537,8.31616
2023-12-16,0.744649,0.003232,4.189708,1.059838,7.69256,1.695133,7.689329
2023-12-17,1.123322,0.539323,3.945158,1.354038,8.870044,1.908201,8.33072
2023-12-18,0.818987,0.423782,3.557338,1.107997,7.720809,1.812705,7.297026
2023-12-19,0.820741,0.045078,4.117882,1.12293,7.750295,1.643664,7.705217
2023-12-20,0.591085,0.282487,4.470061,1.148127,8.263698,1.771938,7.98121
2023-12-21,1.34797,0.126432,3.634342,1.200172,8.063135,1.754219,7.936704
2023-12-22,0.802138,0.166673,3.496492,1.040756,7.209963,1.703903,7.043289
2023-12-25,0.537595,0.488898,3.809358,1.144901,7.579505,1.598752,7.090607
2023-12-26,0.76267,0.090324,3.708626,1.114731,7.320183,1.643832,7.229859
2023-12-27,0.528597,0.530155,2.928718,1.090068,6.588665,1.511126,6.05851
2023-12-28,0.815732,0.06647,4.318043,1.206249,8.149365,1.74287,8.082894
2023-12-29,1.150138,0.039851,4.208136,1.41231,8.712159,1.901724,8.672308
2023-12-30,0.973348,0.187407,3.08357,0.964748,6.823759,1.614686,6.636352
2023-12-31,0.552298,0.128608,3.554681,0.984384,6.659393,1.439422,6.530784
2024-01-01,0.936344,0.431426,2.666384,0.963217,6.341714,1.344343,5.910288
2024-01-02,0.672912,0.105775,4.892181,1.547395,9.184349,1.966086,9.078574
2024-01-03,0.787601,0.1092,3.638648,1.098134,7.218198,1.584614,7.108998
2024-01-04,0.300416,0.399559,4.023143,1.297236,7.756222,1.735868,7.356662
2024-01-05,0.742798,0.159576,2.416848,0.694819,5.142666,1.128625,4.98309
2024-01-06,0.712346,0.011232,3.720734,1.109838,7.25019,1.696041,7.238958
2024-01-07,0.51973,0.072741,2.852721,0.960325,5.63805,1.232532,5.565309
2024-01-08,0.983234,0.05162,3.337214,1.050778,7.107058,1.684213,7.055438
2024-01-09,0.781492,0.443539,3.927444,1.061049,7.959781,1.746257,7.516242
2024-01-10,0.466114,0.186229,3.55862,0.969394,6.527848,1.347491,6.341619
2024-01-11,0.534456,0.0986,3.950993,0.930201,7.340084,1.825834,7.241484
2024-01-12,0.0,0.654342,3.817297,1.146793,7.193834,1.597246,6.561336
2024-01-13,0.910854,0.065426,2.767766,0.699058,5.758296,1.315193,5.692871
2024-01-14,0.798518,0.142858,3.397914,0.985409,6.706213,1.381514,6.563356
2024-01-15,0.789296,0.169192,3.382192,1.021916,6.919232,1.556636,6.75004
2024-01-16,0.855117,0.236122,3.597198,1.043007,7.179537,1.448094,6.943415
2024-01-17,0.0,0.758462,5.428317,1.305648,9.488334,2.060601,8.794566
2024-01-18,1.173466,0.237469,4.993605,1.526152,10.01154,2.080848,9.77407
2024-01-19,1.370137,0.085223,4.210318,1.278362,8.786626,1.842586,8.701403
2024-01-20,0.282367,0.083731,4.160623,1.14782,7.41518,1.740639,7.331449
2024-01-21,1.259914,0.001826,3.153891,0.839368,6.740493,1.485495,6.738668
2024-01-22,0.0,0.398186,2.475192,0.696518,4.595536,1.048733,4.220444
2024-01-23,0.746804,0.093057,4.338147,1.44671,8.557016,1.932299,8.463959
2024-01-24,0.422216,0.523871,2.348697,0.747707,5.238709,1.196218,4.714838
2024-01-25,1.33845,0.149349,3.00094,0.823693,6.749639,1.437207,6.60029
2024-01-26,1.546341,0.075852,3.949773,1.108592,8.439579,1.759021,8.363727
2024-01-27,1.150177,0.171862,3.070797,0.841919,6.49341,1.258655,6.321548
2024-01-28,1.192515,0.01855,3.806387,1.317847,8.27903,1.943731,8.26048
2024-01-29,0.85041,0.368554,3.625204,1.064334,7.645081,1.736579,7.276527
2024-01-31,0.688722,0.157404,2.945431,1.023052,6.015943,1.201334,5.858539
2024-02-01,0.992861,0.2435,3.019916,0.934942,6.515345,1.324127,6.271845
2024-02-02,1.274757,0.014093,2.616953,0.865892,6.19263,1.420935,6.178538
2024-02-03,1.051643,0.372691,3.248467,1.181124,7.544359,1.690434,7.171668
2024-02-04,0.499552,0.001975,3.524625,0.971325,6.372504,1.375027,6.370529
2024-02-05,1.116122,0.333866,4.037138,1.231791,8.720283,2.001366,8.386417
2024-02-06,1.152466,0.188159,4.479179,1.448052,9.199436,1.931581,9.011277
2024-02-07,1.227359,0.128656,3.792848,1.029847,7.973038,1.794329,7.844382
2024-02-08,0.616669,0.146273,4.27816,1.461012,8.441182,1.939069,8.294909
2024-02-09,1.442106,0.140289,3.251662,1.023855,7.452629,1.594718,7.31234
2024-02-10,1.32434,0.022458,3.123596,1.128061,7.250928,1.652474,7.22847
2024-02-11,0.523505,0.359545,4.249787,1.244457,8.091442,1.714148,7.731897
2024-02-12,0.114272,0.203755,4.081067,0.982943,6.903371,1.521334,6.699616
2024-02-13,0.775409,0.2353,2.715077,0.754455,5.757778,1.277538,5.522479
2024-02-14,0.0,0.40499,3.176791,0.798779,5.128341,1.066115,5.041685
2024-02-15,0.861797,0.060234,3.475951,0.964225,6.833151,1.470944,6.772917
2024-02-16,0.677416,0.02387,3.998508,1.198364,7.645836,1.747678,7.621966
2024-02-17,1.124833,0.533782,3.762577,1.160882,8.339664,1.75759,7.805882
2024-02-19,0.654639,0.027473,4.285065,1.372538,8.263334,1.923618,8.235861
2024-02-20,0.61264,0.241796,3.457751,1.151946,6.958491,1.494357,6.716695
2024-02-21,0.873752,0.204935,3.507431,1.18702,7.395701,1.622564,7.190767
2024-02-22,0.723248,0.129967,3.389556,1.00613,6.752961,1.504059,6.622994
2024-02-23,0.691214,0.075863,4.692052,1.194597,8.624837,1.971112,8.548974
2024-02-24,0.336224,0.442974,3.621649,1.176839,7.178016,1.60033,6.735042
2024-02-25,0.69578,0.056116,3.325504,1.104179,6.697339,1.515759,6.641222
2024-02-26,1.332118,0.08383,3.431827,1.150379,7.810858,1.812705,7.727028
2024-02-27,1.155672,0.041708,3.754475,1.027696,7.700452,1.720901,7.658743
2024-02-28,0.874384,0.3424,3.624257,1.15318,7.624045,1.629824,7.281645
2024-02-29,1.269449,0.17386,3.78474,1.363908,8.594672,2.002715,8.420811
2024-03-01,0.735087,0.02782,3.410295,0.879465,6.442602,1.389935,6.414783
2024-03-02,0.095896,0.304159,3.316532,1.139762,6.3536,1.497251,6.049441
2024-03-03,0.867118,0.075423,4.20383,1.31052,8.137719,1.680829,8.062297
2024-03-04,1.098364,0.03869,3.65104,1.188884,7.578903,1.601924,7.540213
2024-03-05,0.882215,0.284572,4.178456,1.208509,8.363947,1.810194,8.079374
2024-03-06,0.454925,0.180125,3.334393,0.986708,6.26348,1.307328,6.083355
2024-03-07,1.378351,0.069133,2.938309,1.071755,6.992267,1.534719,6.923134
2024-03-08,1.596418,0.061764,3.597546,1.286705,8.36851,1.826077,8.306746
2024-03-09,0.61905,0.582702,3.673805,1.164071,7.793275,1.753647,7.210573
2024-03-10,1.07996,0.031066,3.108837,0.928478,6.572079,1.423738,6.541013
2024-03-11,1.308352,0.020542,4.323038,1.214431,8.858583,1.99222,8.838041
2024-03-12,1.068369,0.229563,4.044958,1.524278,8.846643,1.979476,8.61708
2024-03-13,0.145201,0.847262,4.203148,1.392662,8.472618,1.884344,7.625356
2024-03-14,0.481897,0.320449,4.655205,1.179483,8.590485,1.953451,8.270036
2024-03-15,0.80992,0.112474,3.839637,1.296416,7.627093,1.568645,7.514619
2024-03-16,1.07453,0.267449,4.052541,1.29859,8.569144,1.876034,8.301696
2024-03-17,0.693454,0.255348,3.614948,1.129168,7.372537,1.67962,7.117189
2024-03-18,1.534297,0.053584,4.04709,1.370308,8.949854,1.944574,8.896269
2024-03-19,1.316214,0.342601,4.082101,1.344913,9.128938,2.04311,8.786337
2024-03-20,0.615406,0.494946,3.153811,1.044273,6.813663,1.505227,6.318717
2024-03-21,0.925341,0.021107,3.648641,1.015169,7.105527,1.49527,7.084421
2024-03-22,0.0,0.70512,3.875196,1.032269,7.051196,1.498231,6.405696
2024-03-23,0.946209,0.011658,3.067038,0.913099,6.313119,1.375115,6.30146
2024-03-24,0.788379,0.118077,4.153766,1.356623,8.225528,1.808683,8.107451
