night,AsleepUnspecified,Awake,Core,Deep,InBed,REM,TotalSleepHours
2024-01-01,0.37979,0.24625,3.289731,0.986122,6.38812,1.486228,6.14187
2024-01-03,0.76225,0.072551,3.678031,1.008237,7.030526,1.509457,6.957975
2024-01-04,0.926487,0.069103,2.718855,0.764979,5.775082,1.295658,5.705979
2024-01-05,1.160993,0.179501,4.415091,1.3516,8.965649,1.858463,8.786148
2024-01-07,0.518458,0.116018,3.734105,1.064065,6.899746,1.467099,6.783728
2024-01-08,0.68183,0.217251,3.481517,1.022008,6.966351,1.563745,6.7491
2024-01-09,0.375797,0.509887,5.497248,1.563611,10.278313,2.33177,9.768426
2024-01-10,1.196243,0.088245,2.770469,1.051007,6.490915,1.38495,6.402669
2024-01-11,0.397335,0.261133,3.225053,1.013629,6.369448,1.472298,6.108315
2024-01-12,1.184822,0.013134,3.459374,0.94311,7.292834,1.692395,7.2797
2024-01-13,1.162808,0.127813,4.070396,1.385437,8.679716,1.933263,8.551903
2024-01-14,0.550046,0.136163,4.47516,1.420488,8.472964,1.891106,8.336801
2024-01-15,0.857825,0.142087,3.532422,0.923329,7.101362,1.645699,6.959274
2024-01-16,1.35745,0.016021,3.034276,0.965912,6.965584,1.591925,6.949563
2024-01-17,0.60056,0.041299,4.34818,1.225929,8.001448,1.78548,7.960149
2024-01-18,1.054436,0.023318,4.488597,1.29985,8.871862,2.00566,8.848544
2024-01-19,1.415814,0.050233,4.299281,1.050542,8.773734,1.957863,8.7235
2024-01-20,0.981174,0.242817,3.92665,1.214434,7.952936,1.587861,7.710119
2024-01-21,1.653783,0.007517,3.238673,1.014964,7.481449,1.566512,7.473932
2024-01-22,0.8063,0.054772,3.42159,1.073898,6.840818,1.484258,6.786046
2024-01-23,0.749867,0.286778,3.917696,1.252703,7.839821,1.632777,7.553043
2024-01-24,0.050174,0.153477,3.764291,1.145246,6.698172,1.584984,6.544695
2024-01-25,0.390012,0.003345,3.780233,1.221646,7.006568,1.611332,7.003222
2024-01-26,1.347993,0.097792,3.707681,1.275997,8.149087,1.719624,8.051295
2024-01-27,0.965612,0.215753,3.290214,1.031086,7.111736,1.609072,6.895983
2024-01-28,0.0,0.455025,5.193692,1.297134,8.863887,1.933586,8.424412
2024-01-29,0.0,0.454819,3.387197,1.038933,6.059959,1.263819,5.68995
2024-01-30,0.597903,0.001848,4.423942,1.240275,8.117641,1.853673,8.115793
2024-01-31,1.101052,0.05079,3.47236,1.25616,7.674833,1.794472,7.624043
2024-02-01,0.659615,0.378391,3.035282,1.089321,6.748821,1.586212,6.370429
2024-02-02,0.961238,0.05594,3.359938,0.857867,6.632359,1.397377,6.576419
2024-02-03,0.857444,0.139687,4.117458,1.377739,8.378674,1.886345,8.238986
2024-02-04,0.81573,0.004923,3.036438,0.817738,6.093595,1.418765,6.088671
2024-02-05,0.622584,0.097258,3.910036,1.061134,7.375868,1.684855,7.278609
2024-02-06,0.691929,0.238165,3.133087,1.057104,6.573953,1.453668,6.335788
2024-02-07,0.867847,0.270007,3.622796,1.265385,7.730954,1.704919,7.460947
2024-02-08,0.061262,0.332266,3.685097,1.071661,6.540992,1.390706,6.208726
2024-02-09,0.362273,0.209944,4.02354,1.272325,7.523932,1.65585,7.313988
2024-02-10,1.167923,0.019739,3.919002,1.044588,7.732296,1.581044,7.712557
2024-02-11,1.101785,0.178727,3.569783,0.940205,7.460364,1.669864,7.281637
2024-02-14,0.744394,0.048624,3.202995,1.14707,6.60688,1.463798,6.558256
2024-02-15,0.0,0.744711,5.497542,1.619699,9.889036,2.241889,9.35913
2024-02-16,1.461453,0.016341,4.085439,1.237753,8.54802,1.747034,8.531679
2024-02-18,0.893687,0.034024,4.26222,1.080718,8.004987,1.734337,7.970963
2024-02-19,0.516053,0.619621,4.754222,1.26373,9.265454,2.111829,8.645834
2024-02-20,1.043814,0.088003,5.120818,1.291386,9.622156,2.078136,9.534153
2024-02-21,0.762458,0.135304,4.2043,1.09888,7.943819,1.742878,7.808516
2024-02-22,1.066048,0.201623,3.249381,1.250356,7.247432,1.480024,7.045809
2024-02-24,0.12936,0.035571,4.483654,1.174274,7.558509,1.735651,7.522938
2024-02-25,0.684251,0.171356,3.66704,1.159348,7.297542,1.615547,7.126186
2024-02-26,0.089689,0.097586,4.075828,1.101415,6.884866,1.520348,6.787281
2024-02-27,0.793438,0.004709,3.569063,1.140534,7.013567,1.505822,7.008858
2024-02-28,0.369467,0.419883,3.332235,1.126866,6.877763,1.629312,6.45788
2024-02-29,0.302907,0.328842,3.698176,1.085719,6.870299,1.454656,6.541457
2024-03-01,0.548711,0.534028,2.489993,0.789929,5.712328,1.349667,5.178301
2024-03-02,0.8629,0.465689,4.394575,1.317137,9.05286,2.012559,8.587171
2024-03-03,0.575668,0.002179,3.773149,1.022599,6.976812,1.603217,6.974633
2024-03-04,0.72824,0.119003,3.430551,1.275576,7.22896,1.675589,7.109957
2024-03-05,1.04844,0.311766,3.993463,1.382806,8.704923,1.968448,8.393157
2024-03-06,0.5168,0.437324,3.397782,0.811126,6.800853,1.637822,6.36353
2024-03-07,0.329422,0.345037,4.464285,1.173746,8.113841,1.801351,7.768804
2024-03-08,1.208456,0.017439,4.183963,1.23173,8.654354,2.012767,8.636916
2024-03-09,0.143297,0.126471,3.202472,0.789206,5.462924,1.201478,5.336453
2024-03-10,0.758651,0.093959,4.616828,1.364939,8.771138,1.93676,8.677179
2024-03-11,0.0,0.71568,3.715702,1.080485,7.156799,1.653176,6.449363
2024-03-12,0.522212,0.23798,4.003119,1.42362,7.973627,1.786696,7.735647
2024-03-13,0.325629,0.193587,4.895032,1.293969,8.700412,1.992195,8.506825
2024-03-14,1.386379,0.016184,3.264621,1.204601,7.342276,1.47049,7.326092
2024-03-15,0.447334,0.035495,2.90239,0.895229,5.587293,1.306846,5.551799
2024-03-16,0.166939,0.402078,4.563979,1.306319,8.241963,1.802648,7.839885
2024-03-19,0.946254,0.369183,3.568535,1.203414,7.795478,1.708092,7.426295
2024-03-20,0.54181,0.400085,2.25348,0.746297,5.047735,1.106063,4.64765
2024-03-21,1.209946,0.027659,4.601854,1.321133,9.016233,1.855641,8.988574
2024-03-22,0.318397,0.088684,3.226352,1.025756,6.13141,1.47222,6.042726
2024-03-23,0.0,0.382354,4.485387,1.172836,7.742334,1.827414,7.485637
2024-03-24,1.176354,0.005841,4.313116,1.176949,8.52658,1.85432,8.520739
2024-03-25,0.973048,0.00293,4.75787,1.304992,8.989045,1.950205,8.986115
2024-03-26,0.153424,0.085621,3.317865,0.953975,5.769127,1.258242,5.683506
2024-03-27,0.0,0.597238,3.906976,1.150148,7.013286,1.569379,6.626503
2024-03-28,0.146951,0.748528,3.981562,1.094654,7.485282,1.513587,6.736754
2024-03-29,1.544027,0.027595,3.87898,1.281111,8.622678,1.890965,8.595083
2024-03-30,0.505578,0.128476,3.345676,1.034549,6.398748,1.384469,6.270272
2024-03-31,1.167327,0.018577,3.383957,0.976448,7.053317,1.507008,7.034739
2024-04-01,0.788414,0.234491,2.975496,0.915634,6.065911,1.151876,5.83142
2024-04-03,0.520565,0.328187,3.464331,1.008808,6.800274,1.478383,6.472087
2024-04-04,1.097839,0.1926,3.312004,1.01792,6.969499,1.349136,6.776898
2024-04-05,1.037645,0.143356,4.497773,1.429401,9.144968,2.036793,9.001612
2024-04-06,1.326665,0.062735,3.399379,0.945168,7.372082,1.638135,7.309347
2024-04-07,0.664823,0.311342,3.102249,1.196728,6.853427,1.578285,6.542085
2024-04-08,0.935011,0.113007,3.530299,1.288918,7.577368,1.710134,7.464361
2024-04-09,0.942597,0.088041,2.897351,1.086275,6.624382,1.610117,6.53634
2024-04-10,0.687031,0.041298,3.219607,0.850151,6.101432,1.303345,6.060134
2024-04-11,1.183801,0.023765,3.524976,1.159324,7.548522,1.656656,7.524756
2024-04-12,0.171438,0.530077,3.688232,1.088576,6.923229,1.444906,6.393152
2024-04-13,0.537366,0.078218,3.078305,0.808327,5.830595,1.328379,5.752377
